"journal","issn","quartile","impact_factor","category","jcr_year"
"Balkan Journal of Philosophy","2367-5438","N/A","0.2","PHILOSOPHY","2025"
"European Journal of Pragmatism and American Philosophy","2036-4091","N/A","0.2","PHILOSOPHY","2025"
"Historical Records of Australian Science","0727-3061","Q4","0.2","HISTORY & PHILOSOPHY OF SCIENCE","2025"
"Historical Records of Australian Science","1448-5508","Q4","0.2","HISTORY & PHILOSOPHY OF SCIENCE","2025"
"Kalagatos-Revista de Filosofia","1808-107X","N/A","0.2","PHILOSOPHY","2025"
"Kalagatos-Revista de Filosofia","1984-9206","N/A","0.2","PHILOSOPHY","2025"
"TOPIA-Canadian Journal of Cultural Studies","1206-0143","Q4","0.2","CULTURAL STUDIES","2025"
"TOPIA-Canadian Journal of Cultural Studies","1916-0194","Q4","0.2","CULTURAL STUDIES","2025"
"Acta Universitatis Sapientiae-Film and Media Studies","2065-5924","N/A","0.2","FILM, RADIO, TELEVISION","2025"
"Acta Universitatis Sapientiae-Film and Media Studies","2066-7779","N/A","0.2","FILM, RADIO, TELEVISION","2025"
"AMERICAN BOOK REVIEW","0149-9408","N/A","0.2","LITERATURE","2025"
"AMERICAN BOOK REVIEW","2153-4578","N/A","0.2","LITERATURE","2025"
"Anadolu Arastirmalari-Anatolian Research","0569-9746","Q3","0.2","Multiple","2025"
"Anadolu Arastirmalari-Anatolian Research","2667-629X","Q3","0.2","Multiple","2025"
"Anuario Colombiano de Historia Social y de la Cultura","0120-2456","Q3","0.2","HISTORY","2025"
"Anuario Colombiano de Historia Social y de la Cultura","2256-5647","Q3","0.2","HISTORY","2025"
"AUSTRALIAN LAW JOURNAL","0004-9611","Q4","0.2","LAW","2025"
"European Journal of Korean Studies","2631-4134","N/A","0.2","ASIAN STUDIES","2025"
"European Journal of Korean Studies","2516-5399","N/A","0.2","ASIAN STUDIES","2025"
"History of Philosophy & Logical Analysis","2666-4283","N/A","0.2","PHILOSOPHY","2025"
"History of Philosophy & Logical Analysis","2666-4275","N/A","0.2","PHILOSOPHY","2025"
"Journal of Modern Craft","1749-6772","N/A","0.2","ART","2025"
"Journal of Modern Craft","1749-6780","N/A","0.2","ART","2025"
"Journal of Portuguese Linguistics","1645-4537","N/A","0.2","LANGUAGE & LINGUISTICS","2025"
"Journal of Portuguese Linguistics","2397-5563","N/A","0.2","LANGUAGE & LINGUISTICS","2025"
"Manuscrito","0100-6045","N/A","0.2","PHILOSOPHY","2025"
"Manuscrito","2317-630X","N/A","0.2","PHILOSOPHY","2025"
"NEW YORK HISTORY","0146-437X","Q3","0.2","HISTORY","2025"
"NEW YORK HISTORY","2328-8132","Q3","0.2","HISTORY","2025"
"NOWELE-North-Western European Language Evolution","0108-8416","N/A","0.2","LANGUAGE & LINGUISTICS","2025"
"NOWELE-North-Western European Language Evolution","2212-9715","N/A","0.2","LANGUAGE & LINGUISTICS","2025"
"REVIEW OF METAPHYSICS","0034-6632","N/A","0.2","PHILOSOPHY","2025"
"REVIEW OF METAPHYSICS","2154-1302","N/A","0.2","PHILOSOPHY","2025"
"Studia Musicologica","1788-6244","N/A","0.2","MUSIC","2025"
"Studia Musicologica","1789-2422","N/A","0.2","MUSIC","2025"
"VOPROSY FILOSOFII","0042-8744","N/A","0.2","PHILOSOPHY","2025"
"Annales-Anali za Istrske in Mediteranske Studije-Series Historia et Sociologia","1408-5348","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Annales-Anali za Istrske in Mediteranske Studije-Series Historia et Sociologia","2591-1775","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Architectural Histories","2050-5833","N/A","0.2","ARCHITECTURE","2025"
"ARS Orientalis","0571-1371","N/A","0.2","Multiple","2025"
"ARS Orientalis","N/A","N/A","0.2","Multiple","2025"
"BIBLICA","0006-0887","N/A","0.2","RELIGION","2025"
"British Journal of American Legal Studies","2049-4092","Q4","0.2","LAW","2025"
"British Journal of American Legal Studies","2719-5864","Q4","0.2","LAW","2025"
"CONTEMPORARY PACIFIC","1043-898X","Q4","0.2","AREA STUDIES","2025"
"CONTEMPORARY PACIFIC","1527-9464","Q4","0.2","AREA STUDIES","2025"
"Journal of African Military History","2468-0958","Q3","0.2","Multiple","2025"
"Journal of African Military History","2468-0966","Q3","0.2","Multiple","2025"
"Kierkegaard Studies Yearbook","1430-5372","N/A","0.2","Multiple","2025"
"Kierkegaard Studies Yearbook","1612-9792","N/A","0.2","Multiple","2025"
"Kodai Mathematical Journal","0386-5991","Q4","0.2","MATHEMATICS","2025"
"Nauchnyi Dialog","2225-756X","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Nauchnyi Dialog","2227-1295","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Register of the Kentucky Historical Society","0023-0243","Q3","0.2","HISTORY","2025"
"Register of the Kentucky Historical Society","2161-0355","Q3","0.2","HISTORY","2025"
"Revista de Arquitectura-Bogota","1657-0308","N/A","0.2","ARCHITECTURE","2025"
"Revista de Arquitectura-Bogota","2357-626X","N/A","0.2","ARCHITECTURE","2025"
"Russian Journal of Vietnamese Studies-Vyetnamskiye issledovaniya","2618-9453","Q4","0.2","AREA STUDIES","2025"
"Zagadnienia Filozoficzne w Nauce-Philosophical Problems in Science","0867-8286","Q4","0.2","HISTORY & PHILOSOPHY OF SCIENCE","2025"
"Zagadnienia Filozoficzne w Nauce-Philosophical Problems in Science","2451-0602","Q4","0.2","HISTORY & PHILOSOPHY OF SCIENCE","2025"
"American Art","1073-9300","N/A","0.2","ART","2025"
"American Art","1549-6503","N/A","0.2","ART","2025"
"COMPUTER MUSIC JOURNAL","0148-9267","Q4","0.2","Multiple","2025"
"COMPUTER MUSIC JOURNAL","1531-5169","Q4","0.2","Multiple","2025"
"Espacio Tiempo y Forma-Serie III-Historia Medieval","0214-9745","Q3","0.2","HISTORY","2025"
"Espacio Tiempo y Forma-Serie III-Historia Medieval","2340-1362","Q3","0.2","HISTORY","2025"
"Filosofia Unisinos","1519-5023","N/A","0.2","PHILOSOPHY","2025"
"Filosofia Unisinos","1984-8234","N/A","0.2","PHILOSOPHY","2025"
"Historia 396","0719-0719","Q3","0.2","HISTORY","2025"
"Historia 396","0719-7969","Q3","0.2","HISTORY","2025"
"Historia Social","0214-2570","Q3","0.2","HISTORY","2025"
"Historia-Santiago","0717-7194","Q3","0.2","HISTORY","2025"
"JOURNAL OF THE SOUTHWEST","0894-8410","Q3","0.2","HISTORY","2025"
"JOURNAL OF THE SOUTHWEST","2158-1371","Q3","0.2","HISTORY","2025"
"Nova et Vetera-English Edition","1542-7315","N/A","0.2","RELIGION","2025"
"Nova et Vetera-English Edition","2470-5861","N/A","0.2","RELIGION","2025"
"Vox Patrum","0860-9411","Q3","0.2","Multiple","2025"
"Vox Patrum","2719-3586","Q3","0.2","Multiple","2025"
"Zbornik Radova Vizantoloskog Instituta","0584-9888","N/A","0.2","MEDIEVAL & RENAISSANCE STUDIES","2025"
"Zbornik Radova Vizantoloskog Instituta","2406-0917","N/A","0.2","MEDIEVAL & RENAISSANCE STUDIES","2025"
"Alpha-Revista de Artes Letras y Filosofia","0716-4254","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Alpha-Revista de Artes Letras y Filosofia","0718-2201","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Iberian Journal of the History of Economic Thought","2386-5768","Q3","0.2","Multiple","2025"
"Intrecci d Arte","2240-7251","N/A","0.2","ART","2025"
"Neotestamentica","0254-8356","N/A","0.2","RELIGION","2025"
"Neotestamentica","2518-4628","N/A","0.2","RELIGION","2025"
"Osterreichisches Religionspadagogisches Forum","1018-1539","N/A","0.2","RELIGION","2025"
"Small Axe","0799-0537","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Small Axe","1534-6714","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Tempo-Niteroi","1413-7704","Q3","0.2","HISTORY","2025"
"Tempo-Niteroi","N/A","Q3","0.2","HISTORY","2025"
"VLC Arquitectura-Research Journal","2341-3050","N/A","0.2","ARCHITECTURE","2025"
"VLC Arquitectura-Research Journal","2341-2747","N/A","0.2","ARCHITECTURE","2025"
"African Journal of International and Comparative Law","0954-8890","Q4","0.2","LAW","2025"
"African Journal of International and Comparative Law","1755-1609","Q4","0.2","LAW","2025"
"Atlantis-Journal of the Spanish Association of Anglo-American Studies","0210-6124","Q4","0.2","Multiple","2025"
"Atlantis-Journal of the Spanish Association of Anglo-American Studies","1989-6840","Q4","0.2","Multiple","2025"
"Australian and New Zealand Journal of Art","1443-4318","N/A","0.2","ART","2025"
"Australian and New Zealand Journal of Art","2203-1871","N/A","0.2","ART","2025"
"CAMERA OBSCURA","0270-5346","N/A","0.2","FILM, RADIO, TELEVISION","2025"
"CAMERA OBSCURA","1529-1510","N/A","0.2","FILM, RADIO, TELEVISION","2025"
"DEUTSCHE ZEITSCHRIFT FUR PHILOSOPHIE","0012-1045","N/A","0.2","PHILOSOPHY","2025"
"DEUTSCHE ZEITSCHRIFT FUR PHILOSOPHIE","2192-1482","N/A","0.2","PHILOSOPHY","2025"
"Historical Review-La Revue Historique","1790-3572","Q3","0.2","HISTORY","2025"
"Historical Review-La Revue Historique","1791-7603","Q3","0.2","HISTORY","2025"
"Logos","0869-5377","N/A","0.2","PHILOSOPHY","2025"
"Logos","2499-9628","N/A","0.2","PHILOSOPHY","2025"
"Acta Philosophica","1121-2179","N/A","0.2","PHILOSOPHY","2025"
"Acta Philosophica","1825-6562","N/A","0.2","PHILOSOPHY","2025"
"AMERICAN JEWISH HISTORY","0164-0178","Q3","0.2","HISTORY","2025"
"AMERICAN JEWISH HISTORY","1086-3141","Q3","0.2","HISTORY","2025"
"Ancient Near Eastern Studies","1378-4641","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Ancient Near Eastern Studies","1783-1326","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"ARCHITECTURAL DESIGN","0003-8504","N/A","0.2","ARCHITECTURE","2025"
"ARCHITECTURAL DESIGN","1554-2769","N/A","0.2","ARCHITECTURE","2025"
"Eikon Imago","2254-8718","N/A","0.2","ART","2025"
"History of Education & Childrens Literature","1971-1093","Q3","0.2","HISTORY","2025"
"History of Education & Childrens Literature","1971-1131","Q3","0.2","HISTORY","2025"
"INTERNATIONAL PHILOSOPHICAL QUARTERLY","0019-0365","N/A","0.2","PHILOSOPHY","2025"
"INTERNATIONAL PHILOSOPHICAL QUARTERLY","2153-8077","N/A","0.2","PHILOSOPHY","2025"
"JOURNAL OF FEMINIST STUDIES IN RELIGION","8755-4178","N/A","0.2","RELIGION","2025"
"JOURNAL OF FEMINIST STUDIES IN RELIGION","1553-3913","N/A","0.2","RELIGION","2025"
"Media Education-Mediaobrazovanie","1994-4160","Q4","0.2","COMMUNICATION","2025"
"Media Education-Mediaobrazovanie","1994-4195","Q4","0.2","COMMUNICATION","2025"
"Museon","0771-6494","N/A","0.2","Multiple","2025"
"Museon","1783-158X","N/A","0.2","Multiple","2025"
"RELIGION & LITERATURE","0888-3769","N/A","0.2","Multiple","2025"
"RELIGION & LITERATURE","2328-6911","N/A","0.2","Multiple","2025"
"Short Film Studies","2042-7824","N/A","0.2","FILM, RADIO, TELEVISION","2025"
"Short Film Studies","2042-7832","N/A","0.2","FILM, RADIO, TELEVISION","2025"
"Arheologia","0235-3490","N/A","0.2","ARCHAEOLOGY","2025"
"Arheologia","2616-499X","N/A","0.2","ARCHAEOLOGY","2025"
"Bagh-e Nazar","1735-9635","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Bagh-e Nazar","2251-7197","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Ecclesial Practices","2214-4463","Q4","0.2","Multiple","2025"
"Ecclesial Practices","2214-4471","Q4","0.2","Multiple","2025"
"European Romantic Review","1050-9585","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"European Romantic Review","1740-4657","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"JOURNAL OF CHINESE LINGUISTICS","0091-3723","Q4","0.2","Multiple","2025"
"Prometeica-Revista de Filosofia y Ciencias","1852-9488","N/A","0.2","PHILOSOPHY","2025"
"Rukopysna ta Knyzhkova Spadshchyna Ukrainy-Manuscript and Book Heritage of Ukraine","2222-4203","Q3","0.2","HISTORY","2025"
"Studia Universitatis Babes-Bolyai Philosophia","1221-8138","N/A","0.2","PHILOSOPHY","2025"
"Studia Universitatis Babes-Bolyai Philosophia","2065-9407","N/A","0.2","PHILOSOPHY","2025"
"Written Language and Literacy","1387-6732","N/A","0.2","LANGUAGE & LINGUISTICS","2025"
"Written Language and Literacy","1570-6001","N/A","0.2","LANGUAGE & LINGUISTICS","2025"
"Atenea","0718-0462","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Calle 14-Revista de investigacion en el Campo del Arte","2011-3757","N/A","0.2","ART","2025"
"Calle 14-Revista de investigacion en el Campo del Arte","2145-0706","N/A","0.2","ART","2025"
"Italianist","0261-4340","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Italianist","1748-619X","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Archiv Orientalni","0044-8699","N/A","0.2","Multiple","2025"
"Archiv Orientalni","N/A","N/A","0.2","Multiple","2025"
"Canadian Political Science Review","1911-4125","Q4","0.2","POLITICAL SCIENCE","2025"
"Contemporary French Civilization","0147-9156","Q4","0.2","CULTURAL STUDIES","2025"
"Contemporary French Civilization","2044-396X","Q4","0.2","CULTURAL STUDIES","2025"
"Differences-A Journal of Feminist Cultural Studies","1040-7391","Q4","0.2","Multiple","2025"
"Differences-A Journal of Feminist Cultural Studies","1527-1986","Q4","0.2","Multiple","2025"
"Hong Kong Law Journal","0378-0600","Q4","0.2","LAW","2025"
"Hong Kong Law Journal","N/A","Q4","0.2","LAW","2025"
"Italian Journal of Pure and Applied Mathematics","1126-8042","Q4","0.2","MATHEMATICS","2025"
"Italian Journal of Pure and Applied Mathematics","2239-0227","Q4","0.2","MATHEMATICS","2025"
"JOURNAL OF POPULAR CULTURE","0022-3840","Q4","0.2","Multiple","2025"
"JOURNAL OF POPULAR CULTURE","1540-5931","Q4","0.2","Multiple","2025"
"Journal of the Australian Early Medieval Association","1449-9320","N/A","0.2","MEDIEVAL & RENAISSANCE STUDIES","2025"
"Journal of the Australian Early Medieval Association","2207-2802","N/A","0.2","MEDIEVAL & RENAISSANCE STUDIES","2025"
"Lexonomica","1855-7147","Q4","0.2","LAW","2025"
"Lexonomica","1855-7155","Q4","0.2","LAW","2025"
"Logos-Anales del Seminario de Metafisica","1575-6866","N/A","0.2","PHILOSOPHY","2025"
"Logos-Anales del Seminario de Metafisica","1988-3242","N/A","0.2","PHILOSOPHY","2025"
"Medicine Law & Society","2463-7955","Q4","0.2","LAW","2025"
"Nordic Journal of African Studies","N/A","Q4","0.2","AREA STUDIES","2025"
"Nordic Journal of African Studies","1459-9465","Q4","0.2","AREA STUDIES","2025"
"Res Rhetorica","2392-3113","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"AUSTRALIAN BUSINESS LAW REVIEW","0310-1053","Q4","0.2","LAW","2025"
"Hispania Nova","1138-7319","Q3","0.2","HISTORY","2025"
"Journal for Geometry and Graphics","1433-8157","Q4","0.2","MATHEMATICS","2025"
"Journal of Child Science","2474-5871","Q4","0.2","PEDIATRICS","2025"
"LAVAL THEOLOGIQUE ET PHILOSOPHIQUE","0023-9054","N/A","0.2","Multiple","2025"
"LAVAL THEOLOGIQUE ET PHILOSOPHIQUE","1703-8804","N/A","0.2","Multiple","2025"
"Matematicki Vesnik","0025-5165","Q4","0.2","MATHEMATICS","2025"
"Matematicki Vesnik","2406-0682","Q4","0.2","MATHEMATICS","2025"
"Mexican Law Review","1870-0578","Q4","0.2","LAW","2025"
"Midcontinental Journal of Archaeology","0146-1109","N/A","0.2","ARCHAEOLOGY","2025"
"Midcontinental Journal of Archaeology","2327-4271","N/A","0.2","ARCHAEOLOGY","2025"
"Perspectiva Teologica","0102-4469","N/A","0.2","RELIGION","2025"
"Perspectiva Teologica","2176-8757","N/A","0.2","RELIGION","2025"
"Pravoprimenenie-Law Enforcement Review","2542-1514","Q4","0.2","LAW","2025"
"Pravoprimenenie-Law Enforcement Review","2658-4050","Q4","0.2","LAW","2025"
"Slovensky Narodopis-Slovak Ethnology","1335-1303","Q4","0.2","ANTHROPOLOGY","2025"
"Slovensky Narodopis-Slovak Ethnology","1339-9357","Q4","0.2","ANTHROPOLOGY","2025"
"Vestnik Tomskogo Gosudarstvennogo Universiteta Filologiya-Tomsk State University Journal of Philology","1998-6645","N/A","0.2","LANGUAGE & LINGUISTICS","2025"
"Vestnik Tomskogo Gosudarstvennogo Universiteta Filologiya-Tomsk State University Journal of Philology","2310-5046","N/A","0.2","LANGUAGE & LINGUISTICS","2025"
"ZEITSCHRIFT FUR GERMANISTISCHE LINGUISTIK","0301-3294","N/A","0.2","LANGUAGE & LINGUISTICS","2025"
"ZEITSCHRIFT FUR GERMANISTISCHE LINGUISTIK","1613-0626","N/A","0.2","LANGUAGE & LINGUISTICS","2025"
"British Journal of Canadian Studies","0269-9222","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"British Journal of Canadian Studies","1757-8078","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Direito e Praxis","2179-8966","Q4","0.2","LAW","2025"
"European Legacy-Toward New Paradigms","1084-8770","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"European Legacy-Toward New Paradigms","1470-1316","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Fourrages","0429-2766","Q4","0.2","AGRICULTURE, DAIRY & ANIMAL SCIENCE","2025"
"Jordan Journal of Modern Languages & Literature","1994-6953","N/A","0.2","LANGUAGE & LINGUISTICS","2025"
"Jordan Journal of Modern Languages & Literature","2304-8069","N/A","0.2","LANGUAGE & LINGUISTICS","2025"
"Manuscript Studies-A Journal of the Schoenberg Institute for Manuscript Studies","2381-5329","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Manuscript Studies-A Journal of the Schoenberg Institute for Manuscript Studies","2380-1190","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Nazariyat-Journal for the History of Islamic Philosophy and Sciences","2528-8563","N/A","0.2","Multiple","2025"
"Nazariyat-Journal for the History of Islamic Philosophy and Sciences","2547-9415","N/A","0.2","Multiple","2025"
"Nineteenth-Century Art Worldwide","N/A","N/A","0.2","ART","2025"
"Nineteenth-Century Art Worldwide","1543-1002","N/A","0.2","ART","2025"
"Urbanities-Journal of Urban Ethnography","2239-5725","Q4","0.2","ANTHROPOLOGY","2025"
"Afterall","1465-4253","N/A","0.2","ART","2025"
"Afterall","2156-4914","N/A","0.2","ART","2025"
"Anales de la Universidad de Alicante Historia Medieval","N/A","N/A","0.2","MEDIEVAL & RENAISSANCE STUDIES","2025"
"Anales de la Universidad de Alicante Historia Medieval","2695-9747","N/A","0.2","MEDIEVAL & RENAISSANCE STUDIES","2025"
"Architektura & Urbanizmus","0044-8680","N/A","0.2","ARCHITECTURE","2025"
"Architektura & Urbanizmus","N/A","N/A","0.2","ARCHITECTURE","2025"
"Archiv fur Papyrusforschung und Verwandte Gebiete","0066-6459","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Archiv fur Papyrusforschung und Verwandte Gebiete","1867-1551","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"arq-Architectural Research Quarterly","1359-1355","N/A","0.2","ARCHITECTURE","2025"
"arq-Architectural Research Quarterly","1474-0516","N/A","0.2","ARCHITECTURE","2025"
"Current Trends in Translation Teaching and Learning E","2342-7205","Q4","0.2","LINGUISTICS","2025"
"FIBONACCI QUARTERLY","0015-0517","Q4","0.2","MATHEMATICS","2025"
"Journal de Theorie des Nombres de Bordeaux","1246-7405","Q4","0.2","MATHEMATICS","2025"
"Journal de Theorie des Nombres de Bordeaux","2118-8572","Q4","0.2","MATHEMATICS","2025"
"Journal of Ancient History and Archaeology","2360-266X","N/A","0.2","ARCHAEOLOGY","2025"
"Loggia Arquitectura & Restauracion","1136-758X","N/A","0.2","ARCHITECTURE","2025"
"Loggia Arquitectura & Restauracion","2444-1619","N/A","0.2","ARCHITECTURE","2025"
"Meta-Research in Hermeneutics Phenomenology and Practical Philosophy","2067-3655","N/A","0.2","PHILOSOPHY","2025"
"RENASCENCE-ESSAYS ON VALUES IN LITERATURE","0034-4346","N/A","0.2","LITERATURE","2025"
"RENASCENCE-ESSAYS ON VALUES IN LITERATURE","2329-8626","N/A","0.2","LITERATURE","2025"
"Res Mobilis-International Research Journal of Furniture and Decorative Objects","2255-2057","N/A","0.2","ART","2025"
"RIVISTA DI STORIA DELLA FILOSOFIA","0393-2516","N/A","0.2","PHILOSOPHY","2025"
"RIVISTA DI STORIA DELLA FILOSOFIA","1972-5558","N/A","0.2","PHILOSOPHY","2025"
"SOCIAL ALTERNATIVES","0155-0306","Q4","0.2","SOCIOLOGY","2025"
"SOCIAL ALTERNATIVES","1836-6600","Q4","0.2","SOCIOLOGY","2025"
"Space & Form","1895-3247","N/A","0.2","ARCHITECTURE","2025"
"Space & Form","2391-7725","N/A","0.2","ARCHITECTURE","2025"
"World of the Orient","1608-0599","Q3","0.2","Multiple","2025"
"World of the Orient","1682-5268","Q3","0.2","Multiple","2025"
"ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG","0025-5858","Q4","0.2","MATHEMATICS","2025"
"ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG","1865-8784","Q4","0.2","MATHEMATICS","2025"
"Anales del Seminario de Historia de la Filosofia","0211-2337","N/A","0.2","PHILOSOPHY","2025"
"Anales del Seminario de Historia de la Filosofia","1988-2564","N/A","0.2","PHILOSOPHY","2025"
"Dress-The Journal of the Costume Society of America","0361-2112","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Dress-The Journal of the Costume Society of America","2042-1729","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Journal of Law Finance and Accounting","2380-5005","Q4","0.2","Multiple","2025"
"Journal of Law Finance and Accounting","2380-5013","Q4","0.2","Multiple","2025"
"Journal of Social and Political Philosophy","2752-7514","Q4","0.2","Multiple","2025"
"Journal of Social and Political Philosophy","2752-7522","Q4","0.2","Multiple","2025"
"Linguisticae Investigationes","0378-4169","N/A","0.2","LANGUAGE & LINGUISTICS","2025"
"Linguisticae Investigationes","1569-9927","N/A","0.2","LANGUAGE & LINGUISTICS","2025"
"Palaeobulgarica-Starobalgaristika","0204-4021","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Palaeobulgarica-Starobalgaristika","2603-2899","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Religious Inquiries","2322-4894","N/A","0.2","RELIGION","2025"
"Religious Inquiries","2538-6271","N/A","0.2","RELIGION","2025"
"Revista Catalana de Dret Public","1885-5709","Q4","0.2","LAW","2025"
"Revista Catalana de Dret Public","1885-8252","Q4","0.2","LAW","2025"
"Revista do Curso de Direito do UNIFOR","2236-7632","Q4","0.2","LAW","2025"
"Vestnik Volgogradskogo Gosudarstvennogo Universiteta-Seriya 2-Yazykoznanie","1998-9911","N/A","0.2","LANGUAGE & LINGUISTICS","2025"
"Vestnik Volgogradskogo Gosudarstvennogo Universiteta-Seriya 2-Yazykoznanie","2409-1979","N/A","0.2","LANGUAGE & LINGUISTICS","2025"
"Afriques-Debats Methodes et Terrains d Histoire","2108-6796","Q4","0.2","AREA STUDIES","2025"
"Archipel-Etudes interdisciplinaires sur le monde insulindien","0044-8613","N/A","0.2","ASIAN STUDIES","2025"
"Archipel-Etudes interdisciplinaires sur le monde insulindien","2104-3655","N/A","0.2","ASIAN STUDIES","2025"
"Avant","2082-7598","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Avant","2082-6710","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Chronica Nova","0210-9611","Q3","0.2","HISTORY","2025"
"Chronica Nova","2445-1908","Q3","0.2","HISTORY","2025"
"Ethnologia Scandinavica","0348-9698","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"French Studies Bulletin","0262-2750","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"French Studies Bulletin","1748-9180","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Involve, a journal of mathematics","1944-4176","Q4","0.2","MATHEMATICS","2025"
"Involve, a journal of mathematics","1944-4184","Q4","0.2","MATHEMATICS","2025"
"Iranica Antiqua","0021-0870","N/A","0.2","ARCHAEOLOGY","2025"
"Iranica Antiqua","1783-1482","N/A","0.2","ARCHAEOLOGY","2025"
"Legal Information Management","1472-6696","Q4","0.2","LAW","2025"
"Legal Information Management","1741-2021","Q4","0.2","LAW","2025"
"Logos-Vilnius","0868-7692","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"McGill Journal of Sustainable Development Law","N/A","Q4","0.2","LAW","2025"
"McGill Journal of Sustainable Development Law","2561-0589","Q4","0.2","LAW","2025"
"MODERNISM-MODERNITY","1071-6068","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"MODERNISM-MODERNITY","1080-6601","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Religion and Society-Advances in Research","2150-9298","N/A","0.2","RELIGION","2025"
"Religion and Society-Advances in Research","2150-9301","N/A","0.2","RELIGION","2025"
"TIJDSCHRIFT VOOR GESCHIEDENIS","0040-7518","Q3","0.2","HISTORY","2025"
"Vestnik of Saint Petersburg University-Law-Vestnik Sankt-Peterburgskogo Universiteta-Pravo","2074-1243","Q4","0.2","LAW","2025"
"Vestnik of Saint Petersburg University-Law-Vestnik Sankt-Peterburgskogo Universiteta-Pravo","2587-5833","Q4","0.2","LAW","2025"
"Vestnik Ugrovedeniya-Bulletin of Ugric Studies","2220-4156","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Vestnik Ugrovedeniya-Bulletin of Ugric Studies","2587-9766","N/A","0.2","HUMANITIES, MULTIDISCIPLINARY","2025"
"Alter-European Journal of Disability Research","1875-0672","Q4","0.2","REHABILITATION","2025"
"Alter-European Journal of Disability Research","1875-0680","Q4","0.2","REHABILITATION","2025"
"ARCHIVES OF NATURAL HISTORY","0260-9541","Q4","0.2","HISTORY & PHILOSOPHY OF SCIENCE","2025"
"ARCHIVES OF NATURAL HISTORY","1755-6260","Q4","0.2","HISTORY & PHILOSOPHY OF SCIENCE","2025"
"ARCHIVIO STORICO ITALIANO","0391-7770","Q3","0.2","HISTORY","2025"
"ARCHIVIO STORICO ITALIANO","2036-4660","Q3","0.2","HISTORY","2025"
"BSAA Arte","1888-9751","N/A","0.2","ART","2025"
"BSAA Arte","2530-6359","N/A","0.2","ART","2025"
"EARTH SCIENCES HISTORY","0736-623X","Q4","0.2","Multiple","2025"
"EARTH SCIENCES HISTORY","1944-6187","Q4","0.2","Multiple","2025"
"Gedrag & Organisatie","0921-5077","Q4","0.2","Multiple","2025"
"Gedrag & Organisatie","1875-7235","Q4","0.2","Multiple","2025"
"International Journal for the History of Engineering & Technology","1758-1206","Q4","0.2","HISTORY & PHILOSOPHY OF SCIENCE","2025"
"International Journal for the History of Engineering & Technology","1758-1214","Q4","0.2","HISTORY & PHILOSOPHY OF SCIENCE","2025"
"Methods and Applications of Analysis","1073-2772","Q4","0.2","MATHEMATICS, APPLIED","2025"
